,CACode,VaCode,Estimate,ASE,Flag
664,C12B,V17C,40.4,3.6,
665,C12B,V17D,8.3,2.1,
666,C12B,V17M,6,0.1,
667,C12B,V18A,23.2,3.4,
668,C12B,V18B,32.5,3.2,
669,C12B,V18C,29,3.5,
670,C12B,V18D,15.3,2.4,
671,C12B,V18M,5.9,0.2,
672,C12B,V19A,16.6,2.5,
673,C12B,V19B,34.4,3.5,
674,C12B,V19C,35.6,3.4,
675,C12B,V19D,13.4,2.7,
676,C12B,V19M,6.3,0.1,
677,C12B,V20A,21.4,3.3,
678,C12B,V20B,26.8,2.7,
679,C12B,V20C,33.5,3.6,
680,C12B,V20D,18.4,3.1,
681,C12B,V20M,6.3,0.2,
682,C12B,V21A,50.1,3.6,
683,C12B,V21B,35.6,3.4,
684,C12B,V21C,11.1,2.4,
685,C12B,V21D,3.2,1.4,*
686,C12B,V21M,4.2,0.2,
687,C12B,V22A,35.7,3.6,
688,C12B,V22B,36.2,3.3,
689,C12B,V22C,24.6,2.8,
690,C12B,V22D,3.6,1.1,*
691,C12B,V22M,4.9,0.2,
692,C12B,V23A,14.9,2.8,
693,C12B,V23B,21.3,2.9,
694,C12B,V23C,35.8,3.9,
695,C12B,V23D,28,3.4,
696,C12B,V23M,6.9,0.2,
697,C12B,V24A,87.6,2.1,
698,C12B,V25A,86.1,2.5,
699,C12B,V26A,89.8,2.1,
700,C12B,V27A,61.4,3.4,
701,C12B,V28A,85.1,2.4,
702,C12B,V29A,84.6,2.8,
703,C12B,V30A,84,2.4,
704,C12C,V00T,8.2,1.0,
705,C12C,V01A,23.3,3.7,
706,C12C,V01B,23.5,3.9,
707,C12C,V01C,27.2,4.5,
708,C12C,V01D,9.8,3.2,*
709,C12C,V01E,16.2,3.5,
710,C12C,V01M,7.5,0.2,
711,C12C,V02A,18.8,3.8,
712,C12C,V02B,17.1,4.0,
713,C12C,V02C,25.5,5.1,
714,C12C,V02D,18.7,4.3,
715,C12C,V02E,19.8,4.1,
716,C12C,V02M,7.9,0.2,
717,C12C,V03A,17.5,4.2,
718,C12C,V03B,19.2,5.0,
719,C12C,V03C,30,4.7,
720,C12C,V03D,13,3.5,
721,C12C,V03E,20.2,4.6,
722,C12C,V03M,7.8,0.2,
723,C12C,V04A,26.5,4.9,
724,C12C,V04B,45.2,7.2,
725,C12C,V04C,23.5,5.0,
726,C12C,V04D,4.7,2.0,*
727,C12C,V05A,14.8,4.0,
728,C12C,V05B,33,4.7,
729,C12C,V05C,35.1,4.5,
730,C12C,V05D,17,4.0,
731,C12C,V06A,62.2,5.5,
732,C12C,V07A,85.6,3.1,
733,C12C,V08A,53,6.6,
734,C12C,V09A,72.7,5.3,
735,C12C,V10A,16,3.7,
736,C12C,V11A,69.7,5.1,
737,C12C,V11B,8.7,3.6,*
738,C12C,V11C,9.3,3.1,*
739,C12C,V11D,4.6,2.7,**
740,C12C,V11E,7.6,2.4,*
741,C12C,V11M,4.5,0.3,
742,C12C,V12A,71.7,6.6,
743,C12C,V13A,79.6,5.0,
744,C12C,V14A,80.6,4.3,
745,C12C,V15A,78.5,5.2,
746,C12C,V16A,69.1,4.7,
747,C12C,V16B,17.7,3.8,
748,C12C,V16C,10.9,3.0,
749,C12C,V16D,2.3,1.5,**
750,C12C,V17A,13.5,3.5,
751,C12C,V17B,40.8,6.4,
752,C12C,V17C,35.1,6.1,
753,C12C,V17D,10.6,3.3,*
754,C12C,V17M,6.2,0.2,
755,C12C,V18A,14.9,4.0,
756,C12C,V18B,26.2,5.2,
757,C12C,V18C,40.3,5.5,
758,C12C,V18D,18.6,4.2,
759,C12C,V18M,6.6,0.2,
760,C12C,V19A,7.2,2.5,*
761,C12C,V19B,23.2,4.2,
762,C12C,V19C,43.9,5.8,
763,C12C,V19D,25.7,4.7,
764,C12C,V19M,7.2,0.2,
765,C12C,V20A,8.7,2.9,*
766,C12C,V20B,20.7,4.0,
767,C12C,V20C,43.3,5.3,
768,C12C,V20D,27.3,5.3,
769,C12C,V20M,7.2,0.2,
770,C12C,V21A,46.7,5.2,
771,C12C,V21B,30.1,4.3,
772,C12C,V21C,18.1,4.2,
773,C12C,V21D,5.1,2.3,*
774,C12C,V21M,4.7,0.3,
775,C12C,V22A,25.7,6.0,
776,C12C,V22B,31.1,6.0,
777,C12C,V22C,30.2,5.3,
778,C12C,V22D,13,3.5,
779,C12C,V22M,5.8,0.3,
780,C12C,V23A,9.1,2.7,
781,C12C,V23B,19.1,3.8,
782,C12C,V23C,40.6,4.9,
783,C12C,V23D,31.3,4.1,
784,C12C,V23M,7.3,0.2,
785,C12C,V24A,89.8,3.0,
786,C12C,V25A,87,3.1,
787,C12C,V26A,90,3.1,
788,C12C,V27A,57.6,5.3,
789,C12C,V28A,88.4,3.2,
790,C12C,V29A,79.4,3.8,
791,C12C,V30A,85.2,3.6,
792,C12D,V00T,14.7,1.1,
793,C12D,V01A,19.7,3.3,
794,C12D,V01B,17.2,3.6,
795,C12D,V01C,30.7,3.7,
796,C12D,V01D,13.9,3.1,
797,C12D,V01E,18.5,3.6,
798,C12D,V01M,7.8,0.2,
799,C12D,V02A,15.5,2.8,
800,C12D,V02B,18.1,3.1,
801,C12D,V02C,29.2,3.4,
802,C12D,V02D,17,2.9,
803,C12D,V02E,20.3,3.6,
804,C12D,V02M,7.9,0.1,
805,C12D,V03A,12.5,2.4,
806,C12D,V03B,14.8,3.0,
807,C12D,V03C,32,3.9,
808,C12D,V03D,17.7,3.0,
809,C12D,V03E,23,3.3,
810,C12D,V03M,8.2,0.1,
811,C12D,V04A,8.7,2.0,
812,C12D,V04B,35.6,4.0,
813,C12D,V04C,44.8,4.1,
814,C12D,V04D,10.9,2.9,
815,C12D,V05A,19.7,2.9,
816,C12D,V05B,38.9,3.9,
817,C12D,V05C,29.9,3.2,
818,C12D,V05D,11.6,2.4,
819,C12D,V06A,61.4,3.9,
820,C12D,V07A,86.4,2.6,
821,C12D,V08A,53.5,4.9,
822,C12D,V09A,73.9,3.4,
823,C12D,V10A,25.8,3.3,
824,C12D,V11A,60.5,4.2,
825,C12D,V11B,11.7,2.7,
826,C12D,V11C,7.6,2.0,
827,C12D,V11D,5.3,1.5,
828,C12D,V11E,14.9,3.4,
829,C12D,V11M,5.1,0.3,
830,C12D,V12A,48.6,4.2,
831,C12D,V13A,82.7,3.0,
832,C12D,V14A,74.6,3.9,
833,C12D,V15A,81.2,3.4,
834,C12D,V16A,51.5,4.2,
835,C12D,V16B,25,3.5,
836,C12D,V16C,19.2,3.1,
837,C12D,V16D,4.3,1.8,*
838,C12D,V17A,6.5,2.2,*
839,C12D,V17B,19.5,2.9,
840,C12D,V17C,50,3.6,
841,C12D,V17D,24,3.3,
842,C12D,V17M,7.3,0.2,
843,C12D,V18A,4.1,1.4,*
844,C12D,V18B,18.3,3.3,
845,C12D,V18C,41.1,3.8,
846,C12D,V18D,36.5,4.3,
847,C12D,V18M,7.7,0.2,
848,C12D,V19A,2.6,1.0,*
849,C12D,V19B,17,3.1,
850,C12D,V19C,42,4.1,
851,C12D,V19D,38.4,4.2,
852,C12D,V19M,7.9,0.1,
853,C12D,V20A,5.4,1.7,*
854,C12D,V20B,14.9,2.4,
855,C12D,V20C,43.8,4.1,
856,C12D,V20D,35.9,4.1,
857,C12D,V20M,7.7,0.1,
858,C12D,V21A,16.5,3.0,
859,C12D,V21B,30.2,3.8,
860,C12D,V21C,37.8,3.8,
861,C12D,V21D,15.6,2.9,
862,C12D,V21M,6.4,0.2,
863,C12D,V22A,9.9,2.3,
864,C12D,V22B,28.1,3.9,
865,C12D,V22C,39.4,4.2,
866,C12D,V22D,22.6,4.0,
867,C12D,V22M,6.9,0.2,
868,C12D,V23A,3.5,1.1,*
869,C12D,V23B,12.6,2.4,
870,C12D,V23C,33.7,3.6,
871,C12D,V23D,50.3,3.9,
872,C12D,V23M,8.2,0.1,
873,C12D,V24A,84.7,2.8,
874,C12D,V25A,77.1,3.3,
875,C12D,V26A,85.9,2.6,
876,C12D,V27A,38.5,4.0,
877,C12D,V28A,82.1,3.1,
878,C12D,V29A,72.2,3.5,
879,C12D,V30A,62.3,4.3,
880,C13A,V00T,3.6,0.0,B
881,C13A,V01A,19.5,6.9,*
882,C13A,V01B,14,3.6,
883,C13A,V01C,34.2,6.3,
884,C13A,V01D,13.2,3.9,
885,C13A,V01E,19.2,4.6,
886,C13A,V01M,7.7,0.3,
887,C13A,V02A,17.8,5.8,*
888,C13A,V02B,15.7,6.5,*
889,C13A,V02C,24.2,6.1,
890,C13A,V02D,13.9,4.1,
891,C13A,V02E,28.4,5.5,
892,C13A,V02M,8,0.2,
893,C13A,V03A,28.5,8.2,
894,C13A,V03B,12.9,3.9,
895,C13A,V03C,30.4,7.1,
896,C13A,V03D,9.9,3.6,*
897,C13A,V03E,18.4,3.3,
898,C13A,V03M,7.5,0.3,
899,C13A,V04A,11.4,3.8,*
900,C13A,V04B,29.3,7.7,
901,C13A,V04C,42.5,7.7,
902,C13A,V04D,16.8,5.9,*
903,C13A,V05A,9.7,3.8,*
904,C13A,V05B,39.3,5.9,
905,C13A,V05C,36.8,6.1,
906,C13A,V05D,14.2,5.5,*
907,C13A,V06A,54.9,10.8,
908,C13A,V07A,83.3,6.0,
909,C13A,V08A,60.3,18.7,*
910,C13A,V09A,64.8,8.1,
911,C13A,V10A,18.7,5.0,
912,C13A,V11A,81.8,5.1,
913,C13A,V11B,5.9,2.9,*
914,C13A,V11C,7.1,4.1,**
915,C13A,V11D,2.2,1.9,**
916,C13A,V11E,3,1.5,**
917,C13A,V11M,3.6,0.4,
918,C13A,V12A,63.3,6.7,
919,C13A,V13A,78.4,6.5,
920,C13A,V14A,67.6,6.2,
921,C13A,V15A,70.6,5.9,
922,C13A,V16A,57,6.6,
923,C13A,V16B,22,4.7,
924,C13A,V16C,13.1,3.8,
925,C13A,V16D,7.9,4.8,**
926,C13A,V17A,13.8,4.3,*
927,C13A,V17B,26,6.3,
928,C13A,V17C,52.3,8.0,
929,C13A,V17D,7.9,3.9,*
930,C13A,V17M,6.5,0.3,
931,C13A,V18A,19.8,4.7,
932,C13A,V18B,32.9,5.4,
933,C13A,V18C,30.9,5.7,
934,C13A,V18D,16.4,5.1,*
935,C13A,V18M,6.1,0.3,
936,C13A,V19A,15.6,4.4,
937,C13A,V19B,31.5,4.3,
938,C13A,V19C,40.5,4.9,
939,C13A,V19D,12.4,3.6,
940,C13A,V19M,6.4,0.2,
941,C13A,V20A,19.3,5.2,
942,C13A,V20B,24.7,5.6,
943,C13A,V20C,38.2,8.0,
944,C13A,V20D,17.8,5.3,
945,C13A,V20M,6.4,0.4,
946,C13A,V21A,45.3,5.8,
947,C13A,V21B,35.2,5.8,
948,C13A,V21C,15.7,5.5,*
949,C13A,V21D,3.8,3.7,**
950,C13A,V21M,4.5,0.3,
951,C13A,V22A,28,5.9,
952,C13A,V22B,37.2,4.4,
953,C13A,V22C,28.5,5.5,
954,C13A,V22D,6.3,3.3,**
955,C13A,V22M,5.3,0.3,
956,C13A,V23A,13.5,4.1,*
957,C13A,V23B,15.1,3.8,
958,C13A,V23C,39.8,7.1,
959,C13A,V23D,31.6,5.1,
960,C13A,V23M,7.2,0.3,
961,C13A,V24A,85.6,5.7,
962,C13A,V25A,83.4,4.3,
963,C13A,V26A,87.2,4.0,
964,C13A,V27A,53.7,6.2,
965,C13A,V28A,82.9,5.1,
966,C13A,V29A,83.9,4.7,
967,C13A,V30A,87.3,4.4,
968,C13B,V00T,34.9,0.0,B
969,C13B,V01A,19.8,1.9,
970,C13B,V01B,20.3,1.9,
971,C13B,V01C,31.3,1.9,
972,C13B,V01D,14.3,1.9,
973,C13B,V01E,14.3,1.8,
974,C13B,V01M,7.6,0.1,
975,C13B,V02A,15.5,1.8,
976,C13B,V02B,17.8,1.8,
977,C13B,V02C,28.3,2.4,
978,C13B,V02D,20,2.2,
979,C13B,V02E,18.5,2.0,
980,C13B,V02M,8,0.1,
981,C13B,V03A,15,1.6,
982,C13B,V03B,18,1.6,
983,C13B,V03C,33.7,2.5,
984,C13B,V03D,16.6,2.1,
985,C13B,V03E,16.7,1.7,
986,C13B,V03M,7.9,0.1,
987,C13B,V04A,13.6,1.6,
988,C13B,V04B,31.5,3.0,
989,C13B,V04C,39.9,2.6,
990,C13B,V04D,15,1.8,
991,C13B,V05A,18.2,1.6,
992,C13B,V05B,40.2,2.4,
993,C13B,V05C,28.6,2.5,
994,C13B,V05D,13.1,1.9,
995,C13B,V06A,61.1,2.9,
996,C13B,V07A,89.2,1.5,
997,C13B,V08A,53.8,3.6,
998,C13B,V09A,76.7,2.0,
999,C13B,V10A,16.6,1.9,
1000,C13B,V11A,74,2.7,
1001,C13B,V11B,8.4,1.6,
1002,C13B,V11C,7.1,1.3,
1003,C13B,V11D,4,1.1,
1004,C13B,V11E,6.5,1.3,
1005,C13B,V11M,3.9,0.2,
1006,C13B,V12A,60.2,3.3,
1007,C13B,V13A,79.2,2.2,
1008,C13B,V14A,74.8,2.6,
1009,C13B,V15A,78.7,2.5,
1010,C13B,V16A,64.5,2.6,
1011,C13B,V16B,20.2,2.0,
1012,C13B,V16C,12.5,1.7,
1013,C13B,V16D,2.8,0.7,
1014,C13B,V17A,8.6,1.4,
1015,C13B,V17B,25.3,2.5,
1016,C13B,V17C,51.1,2.7,
1017,C13B,V17D,15,1.8,
1018,C13B,V17M,6.9,0.1,
1019,C13B,V18A,10.6,1.4,
1020,C13B,V18B,23.8,2.3,
1021,C13B,V18C,42.6,2.5,
1022,C13B,V18D,23.1,2.5,
1023,C13B,V18M,7,0.1,
1024,C13B,V19A,7,1.1,
1025,C13B,V19B,22.8,2.4,
1026,C13B,V19C,47.7,2.3,
1027,C13B,V19D,22.6,2.3,
1028,C13B,V19M,7.2,0.1,
1029,C13B,V20A,8.4,1.2,
1030,C13B,V20B,19.4,1.8,
1031,C13B,V20C,46.8,2.7,
1032,C13B,V20D,25.5,2.7,
1033,C13B,V20M,7.2,0.1,
1034,C13B,V21A,35.7,2.6,
1035,C13B,V21B,35.7,2.4,
1036,C13B,V21C,23.2,2.2,
1037,C13B,V21D,5.4,1.4,
1038,C13B,V21M,5.1,0.1,
1039,C13B,V22A,22.5,2.5,
1040,C13B,V22B,34.5,2.7,
1041,C13B,V22C,32.8,2.6,
1042,C13B,V22D,10.2,1.7,
1043,C13B,V22M,5.8,0.1,
1044,C13B,V23A,6.3,1.2,
1045,C13B,V23B,13.4,1.6,
1046,C13B,V23C,37.2,2.4,
1047,C13B,V23D,43.1,2.4,
1048,C13B,V23M,7.8,0.1,
1049,C13B,V24A,88,1.7,
1050,C13B,V25A,85.5,1.7,
1051,C13B,V26A,89.9,1.5,
1052,C13B,V27A,50.7,2.8,
1053,C13B,V28A,86.1,1.5,
1054,C13B,V29A,80.5,2.0,
1055,C13B,V30A,82,2.2,
1056,C13C,V00T,9.4,0.0,B
1057,C13C,V01A,20.2,3.2,
1058,C13C,V01B,15.8,2.8,
1059,C13C,V01C,30.4,3.0,
1060,C13C,V01D,13.3,2.7,
1061,C13C,V01E,20.3,2.5,
1062,C13C,V01M,7.7,0.2,
1063,C13C,V02A,12.7,2.3,
1064,C13C,V02B,13.7,2.6,
1065,C13C,V02C,29.6,3.3,
1066,C13C,V02D,16,3.6,
1067,C13C,V02E,28,3.3,
1068,C13C,V02M,8.2,0.1,
1069,C13C,V03A,18.1,2.7,
1070,C13C,V03B,16.2,2.8,
1071,C13C,V03C,28.8,3.3,
1072,C13C,V03D,15.5,3.5,
1073,C13C,V03E,21.4,3.2,
1074,C13C,V03M,7.9,0.1,
1075,C13C,V04A,8.6,1.8,
1076,C13C,V04B,25.7,3.4,
1077,C13C,V04C,43.6,4.0,
1078,C13C,V04D,22.1,3.2,
1079,C13C,V05A,16.3,3.8,
1080,C13C,V05B,35.7,4.1,
1081,C13C,V05C,28.6,3.3,
1082,C13C,V05D,19.3,3.2,
1083,C13C,V06A,55.9,4.6,
1084,C13C,V07A,83.1,2.7,
1085,C13C,V08A,45.7,5.9,
1086,C13C,V09A,65.8,3.8,
1087,C13C,V10A,16.6,2.6,
1088,C13C,V11A,78.5,3.3,
1089,C13C,V11B,7.8,1.9,
1090,C13C,V11C,5.8,1.8,*
1091,C13C,V11D,3.3,1.5,*
1092,C13C,V11E,4.7,1.5,*
1093,C13C,V11M,3.4,0.3,
1094,C13C,V12A,61.8,4.4,
1095,C13C,V13A,80.3,3.4,
1096,C13C,V14A,68.5,3.6,
1097,C13C,V15A,72.7,3.4,
1098,C13C,V16A,60.5,4.4,
1099,C13C,V16B,21.3,2.8,
1100,C13C,V16C,13.9,2.9,
1101,C13C,V16D,4.3,1.7,*
1102,C13C,V17A,11.4,2.6,
1103,C13C,V17B,23.5,3.9,
1104,C13C,V17C,50.4,4.2,
1105,C13C,V17D,14.6,3.1,
1106,C13C,V17M,6.8,0.2,
1107,C13C,V18A,14.8,2.5,
1108,C13C,V18B,22.6,3.6,
1109,C13C,V18C,36.2,3.6,
1110,C13C,V18D,26.5,3.7,
1111,C13C,V18M,6.8,0.2,
1112,C13C,V19A,9.8,2.1,
1113,C13C,V19B,25.7,3.8,
1114,C13C,V19C,43.7,3.6,
1115,C13C,V19D,20.8,3.4,
1116,C13C,V19M,7,0.2,
1117,C13C,V20A,13.7,2.4,
1118,C13C,V20B,24.2,3.3,
1119,C13C,V20C,38,3.7,
1120,C13C,V20D,24.1,3.1,
1121,C13C,V20M,6.8,0.2,
1122,C13C,V21A,42.3,3.6,
1123,C13C,V21B,35.7,3.7,
1124,C13C,V21C,15.5,3.2,
1125,C13C,V21D,6.5,2.1,*
1126,C13C,V21M,4.7,0.2,
1127,C13C,V22A,27.9,3.2,
1128,C13C,V22B,33.6,3.3,
1129,C13C,V22C,27.1,4.3,
1130,C13C,V22D,11.4,3.5,*
1131,C13C,V22M,5.5,0.2,
1132,C13C,V23A,7.4,2.4,*
1133,C13C,V23B,10.1,2.1,
1134,C13C,V23C,33.5,4.1,
1135,C13C,V23D,49,4.5,
1136,C13C,V23M,8,0.2,
1137,C13C,V24A,85.7,2.8,
1138,C13C,V25A,81.1,3.4,
1139,C13C,V26A,84.5,3.3,
1140,C13C,V27A,50.9,3.4,
1141,C13C,V28A,79.6,3.1,
1142,C13C,V29A,82.4,2.9,
1143,C13C,V30A,83.7,3.3,
1144,C13D,V00T,6.2,0.0,B
1145,C13D,V01A,18.4,3.9,
1146,C13D,V01B,20.3,4.5,
1147,C13D,V01C,25.6,4.0,
1148,C13D,V01D,18.6,4.4,
1149,C13D,V01E,17.1,4.3,
1150,C13D,V01M,7.7,0.2,
1151,C13D,V02A,13.3,3.5,
1152,C13D,V02B,14.7,3.8,
1153,C13D,V02C,27.6,5.2,
1154,C13D,V02D,12.9,3.0,
1155,C13D,V02E,31.5,4.8,
1156,C13D,V02M,8.2,0.2,
1157,C13D,V03A,21.8,4.2,
1158,C13D,V03B,20.7,3.9,
1159,C13D,V03C,29.4,4.6,
1160,C13D,V03D,12.5,4.4,*
1161,C13D,V03E,15.6,3.5,
1162,C13D,V03M,7.5,0.2,
1163,C13D,V04A,10.6,3.3,*
1164,C13D,V04B,26.3,4.1,
1165,C13D,V04C,44.6,5.2,
1166,C13D,V04D,18.5,3.6,
1167,C13D,V05A,14.6,4.3,
1168,C13D,V05B,37.4,5.8,
1169,C13D,V05C,33.2,4.5,
1170,C13D,V05D,14.8,2.9,
1171,C13D,V06A,64.1,4.6,
1172,C13D,V07A,86,3.0,
1173,C13D,V08A,45.6,6.6,
1174,C13D,V09A,66.6,5.5,
1175,C13D,V10A,21.2,5.5,
1176,C13D,V11A,82.5,3.7,
1177,C13D,V11B,7.2,2.3,*
1178,C13D,V11C,4.9,2.1,*
1179,C13D,V11D,1.5,1.0,**
1180,C13D,V11E,3.9,2.1,**
1181,C13D,V11M,3,0.3,
1182,C13D,V12A,58.4,6.2,
1183,C13D,V13A,77.3,5.2,
1184,C13D,V14A,68.7,5.7,
1185,C13D,V15A,75.8,4.8,
1186,C13D,V16A,60.6,4.6,
1187,C13D,V16B,21.4,3.8,
1188,C13D,V16C,14,3.7,
1189,C13D,V16D,4.1,2.2,**
1190,C13D,V17A,13.4,3.6,
1191,C13D,V17B,27.3,4.9,
1192,C13D,V17C,43.7,5.3,
1193,C13D,V17D,15.5,4.6,
1194,C13D,V17M,6.5,0.2,
1195,C13D,V18A,15.8,4.4,
1196,C13D,V18B,25.1,3.8,
1197,C13D,V18C,39,4.4,
1198,C13D,V18D,20,5.0,
1199,C13D,V18M,6.6,0.3,
1200,C13D,V19A,11.2,2.7,
1201,C13D,V19B,30.4,4.6,
1202,C13D,V19C,40.4,4.8,
1203,C13D,V19D,18.1,4.0,
1204,C13D,V19M,6.7,0.3,
1205,C13D,V20A,16.6,4.3,
1206,C13D,V20B,25.1,4.2,
1207,C13D,V20C,37,3.8,
1208,C13D,V20D,21.3,5.0,
1209,C13D,V20M,6.6,0.3,
1210,C13D,V21A,46.4,5.3,
1211,C13D,V21B,33.7,4.6,
1212,C13D,V21C,15.6,3.2,
1213,C13D,V21D,4.3,2.3,**
1214,C13D,V21M,4.5,0.3,
1215,C13D,V22A,35.7,5.2,
1216,C13D,V22B,33.3,4.7,
1217,C13D,V22C,24.8,3.9,
1218,C13D,V22D,6.2,2.9,*
1219,C13D,V22M,5.1,0.3,
1220,C13D,V23A,6.5,2.4,*
1221,C13D,V23B,13.7,4.0,
1222,C13D,V23C,33.2,5.0,
1223,C13D,V23D,46.6,6.1,
1224,C13D,V23M,7.9,0.2,
1225,C13D,V24A,83.9,4.1,
1226,C13D,V25A,81.5,4.1,
1227,C13D,V26A,84.9,3.6,
1228,C13D,V27A,51.7,5.0,
1229,C13D,V28A,78.3,4.4,
1230,C13D,V29A,81.4,3.4,
1231,C13D,V30A,80.2,4.3,
1232,C13E,V00T,4.3,0.0,B
1233,C13E,V01A,18.5,4.3,
1234,C13E,V01B,18.1,4.5,
1235,C13E,V01C,27.1,5.3,
1236,C13E,V01D,15.6,3.4,
1237,C13E,V01E,20.7,5.2,
1238,C13E,V01M,7.8,0.2,
1239,C13E,V02A,12.8,4.3,*
1240,C13E,V02B,15.4,5.0,*
1241,C13E,V02C,26.1,5.1,
1242,C13E,V02D,18.8,4.1,
1243,C13E,V02E,27,5.2,
1244,C13E,V02M,8.2,0.2,
1245,C13E,V03A,18.5,4.6,
1246,C13E,V03B,19.4,5.1,
1247,C13E,V03C,26.3,4.9,
1248,C13E,V03D,17.4,4.3,
1249,C13E,V03E,18.4,5.7,*
1250,C13E,V03M,7.8,0.2,
1251,C13E,V04A,6.5,2.7,*
1252,C13E,V04B,27.7,5.4,
1253,C13E,V04C,48.8,5.1,
1254,C13E,V04D,17,3.6,
1255,C13E,V05A,12.5,3.1,
1256,C13E,V05B,37,5.2,
1257,C13E,V05C,32.5,5.7,
1258,C13E,V05D,18,4.8,
1259,C13E,V06A,55.5,6.6,
1260,C13E,V07A,81,4.2,
1261,C13E,V08A,31.9,7.7,
1262,C13E,V09A,66.8,5.3,
1263,C13E,V10A,23.8,5.5,
1264,C13E,V11A,79.2,5.0,
1265,C13E,V11B,7.5,4.1,**
1266,C13E,V11C,8.4,3.5,*
1267,C13E,V11D,S,,S
1268,C13E,V11E,4.3,2.3,**
1269,C13E,V11M,3.7,0.3,
1270,C13E,V12A,69.5,5.5,
1271,C13E,V13A,80.8,3.9,
1272,C13E,V14A,74.8,4.7,
1273,C13E,V15A,74.8,4.6,
1274,C13E,V16A,56.8,6.3,
1275,C13E,V16B,25.3,5.2,
1276,C13E,V16C,13.2,4.5,*
1277,C13E,V16D,4.7,4.0,**
1278,C13E,V17A,12.8,2.9,
1279,C13E,V17B,26,4.7,
1280,C13E,V17C,49.6,6.0,
1281,C13E,V17D,11.6,3.9,*
1282,C13E,V17M,6.6,0.2,
1283,C13E,V18A,16.9,3.7,
1284,C13E,V18B,22,4.1,
1285,C13E,V18C,36.7,5.0,
1286,C13E,V18D,24.4,5.1,
1287,C13E,V18M,6.7,0.3,
1288,C13E,V19A,14.2,3.9,
1289,C13E,V19B,24.5,3.7,
1290,C13E,V19C,43,5.1,
1291,C13E,V19D,18.3,4.9,
1292,C13E,V19M,6.7,0.2,
1293,C13E,V20A,19.3,4.2,
1294,C13E,V20B,25.6,4.4,
1295,C13E,V20C,33.7,5.3,
1296,C13E,V20D,21.3,4.6,
1297,C13E,V20M,6.5,0.3,
1298,C13E,V21A,43.9,6.0,
1299,C13E,V21B,32.9,5.4,
1300,C13E,V21C,17.9,2.9,
1301,C13E,V21D,5.3,3.3,**
1302,C13E,V21M,4.7,0.3,
1303,C13E,V22A,22.7,3.9,
1304,C13E,V22B,40.1,5.4,
1305,C13E,V22C,27.5,4.9,
1306,C13E,V22D,9.7,3.7,*
1307,C13E,V22M,5.7,0.2,
